PREDATOR PREY
Beroe_cucumis Metridia_longa
Meganyctiphanes_norvegica Metridia_lucens
Boreomysis_arctica POM
Boreomysis_arctica Phytodetritus
Boreomysis_arctica Sediment
Balanus_balanus POM
Balanus_balanus Phytodetritus
Balanus_balanus Sediment
Semibalanus_balanoides POM
Semibalanus_balanoides Phytodetritus
Semibalanus_balanoides Sediment
Littorina_saxatilis Fucus_distichus
Littorina_saxatilis Pylaiella_littoralis
Littorina_saxatilis Chordaria_flagelliformis
Littorina_saxatilis Acrosiphonia
Littorina_saxatilis Alaria_esculenta
Littorina_saxatilis Laminaria_saccharina
Littorina_saxatilis Laminaria_digitata
Littorina_saxatilis Saccorhiza_dermatodea
Littorina_saxatilis Laminaria_solidungula
Littorina_saxatilis Phycodrys_rubens
Littorina_saxatilis Ptilta_gunneri
Littorina_saxatilis Fimbrifolium_dichotomum
Littorina_saxatilis Desmarestia_aculeata
Littorina_saxatilis Palmaria_palmata
Littorina_saxatilis Devaleraea_ramentacea
Littorina_saxatilis Turnerella_pennyi
Littorina_saxatilis Desmarestia_viridis
Littorina_saxatilis Phytodetritus
Littorina_saxatilis Sediment
Ischyroceros Phytodetritus
Ischyroceros Sediment
Gammarus_setosus Phytodetritus
Gammarus_setosus Sediment
Gammarellus_homari Phytodetritus
Onisimus_littoralis Phytodetritus
Onisimus_littoralis Sediment
Anonyx_nugax Phytodetritus
Anonyx_sarsi Phytodetritus
Arrhis_phyllonyx Phytodetritus
Brachydiastylis_resima Phytodetritus
Brachydiastylis_resima Sediment
Caprella_septentrionalis Phytodetritus
Caprella_septentrionalis Sediment
Corophium_crassicorne Phytodetritus
Corophium_crassicorne Sediment
Diastylis_goodsiri Phytodetritus
Diastylis_goodsiri Sediment
Diastylis_lucifera Phytodetritus
Diastylis_lucifera Sediment
Diastylis_rathkii Phytodetritus
Diastylis_rathkii Sediment
Eryhtrops_erythropthalma Phytodetritus
Eryhtrops_erythropthalma Sediment
Eualus_gaimardi Balanus_balanus
Eualus_gaimardi Semibalanus_balanoides
Eualus_gaimardi Littorina_saxatilis
Eualus_gaimardi Sediment
Gammarus_setosus.1 Calanus_finnmarchicus
Gammarus_setosus.1 Copepoda_nauplii
Gammarus_setosus.1 Pseudocalanus
Gammarus_setosus.1 Oithona_similis
Gammarus_setosus.1 Fritillaria
Gammarus_setosus.1 Limacina_helicina
Gammarus_setosus.1 Phytodetritus
Halirages_fulvocinctus Phytodetritus
Halirages_fulvocinctus Sediment
Hyas_araneus Fucus_distichus
Hyas_araneus Pylaiella_littoralis
Hyas_araneus Chordaria_flagelliformis
Hyas_araneus Acrosiphonia
Hyas_araneus Alaria_esculenta
