PREDATOR PREY
Phaeoptyx_maculatus Microfauna
Phaeoptyx_maculatus Polychaetes
Phaeoptyx_maculatus Amphipoda
Phaeoptyx_maculatus Isopoda
Phaeoptyx_maculatus Shrimps
Phaeoptyx_maculatus Crabs
Hypoatherina_harringtonensis Microfauna
Atherinomorus_stipes Zooplankton
Atherinomorus_stipes Microfauna
Atherinomorus_stipes Barnacles
Aulostomus_maculatus Shrimps
Aulostomus_maculatus Acanthurus_bahianus
Aulostomus_maculatus Acanthurus_chirugus
Aulostomus_maculatus Acanthurus_coeruleus
Aulostomus_maculatus Phaeoptyx_conklini
Aulostomus_maculatus Phaeoptyx_maculatus
Aulostomus_maculatus Entomacrodus_nigricans
Aulostomus_maculatus Ophioblennius_atlanticus
Aulostomus_maculatus Parablennius_marmoreus...62
Aulostomus_maculatus Scartella_cristata
Aulostomus_maculatus Labrisomus_guppyi
Aulostomus_maculatus Labrisomus_nuchipinnis
Aulostomus_maculatus Anchoa_hepsetus
Aulostomus_maculatus Anocha_lyolepis
Aulostomus_maculatus Coryphopterus_glaucofraenum
Aulostomus_maculatus Gnatholepis_thompsoni
Aulostomus_maculatus Elacatinus_evelynae
Aulostomus_maculatus Haemulon_aurolineatum
Aulostomus_maculatus Haemulon_flavolineatum
Aulostomus_maculatus Holocentrus_coruscus
Aulostomus_maculatus Holocentrus_rufus
Aulostomus_maculatus Myripristis_jacobus
Aulostomus_maculatus Thalassoma_bifasciatum
Aulostomus_maculatus Pseudupeneus_maculatus
Aulostomus_maculatus Chromis_cyanea
Aulostomus_maculatus Stegastes_fuscus
Aulostomus_maculatus Stegastes_leucostictus
Aulostomus_maculatus Stegastes_planifrons
Aulostomus_maculatus Stegastes_variabillis
Balistes_vetula Benthic_algae
Balistes_vetula Symbiotic_algae
Balistes_vetula Stony_corals
Balistes_vetula Sipunculid_worms
Balistes_vetula Chitons
Balistes_vetula Gastropoda
Balistes_vetula Bivalvia
Balistes_vetula Polychaetes
Balistes_vetula Stomatopods
Balistes_vetula Shrimps
Balistes_vetula Scyllarid_Lobsters
Balistes_vetula Hermit_crabs
Balistes_vetula Crabs
Balistes_vetula Asteroids
Balistes_vetula Ophiuroids
Balistes_vetula Echinoids
Balistes_vetula Tunicates
Canthidermis_sufflamen Benthic_algae
Canthidermis_sufflamen Microfauna
Canthidermis_sufflamen Amphipoda
Canthidermis_sufflamen Echinoids
Melichthys_niger Benthic_algae
Melichthys_niger Symbiotic_algae
Melichthys_niger Zooplankton
Melichthys_niger Microfauna
Melichthys_niger Stony_corals
Melichthys_niger Shrimps
Melichthys_niger Hermit_crabs
Melichthys_niger Crabs
"Platybelone_argalus argalus" Microfauna
"Platybelone_argalus argalus" Jenkinsia_lamprotaenia
Strongylura_timucu Shrimps
Strongylura_timucu Jenkinsia_lamprotaenia
Strongylura_timucu Anchoa_hepsetus
Strongylura_timucu Anocha_lyolepis
"Tylosurus_acus acus" Microfauna
"Tylosurus_acus acus" "Tylosurus_acus acus"
"Tylosurus_acus acus" "Tylosurus_crocodilus crocodilus"
"Tylosurus_acus acus" Carangoides_bartholomaei
"Tylosurus_acus acus" Carangoides_latus
"Tylosurus_acus acus" Carangoides_ruber
"Tylosurus_acus acus" Parablennius_marmoreus...69
"Tylosurus_acus acus" Oligoplites_saurus
"Tylosurus_acus acus" Selar_crumenophthalmus
"Tylosurus_acus acus" Seriola_dumerili
"Tylosurus_acus acus" Trachinotus_falcatus
"Tylosurus_acus acus" Trachinotus_goodei
"Tylosurus_crocodilus crocodilus" Shrimps
"Tylosurus_crocodilus crocodilus" Acanthurus_bahianus
"Tylosurus_crocodilus crocodilus" Harengula_humeralis
"Tylosurus_crocodilus crocodilus" Anchoa_hepsetus
"Tylosurus_crocodilus crocodilus" Anocha_lyolepis
"Tylosurus_crocodilus crocodilus" Mugil_curema
Entomacrodus_nigricans Detritus
Entomacrodus_nigricans Benthic_algae
Entomacrodus_nigricans Polychaetes
Ophioblennius_atlanticus Detritus
Ophioblennius_atlanticus Benthic_algae
Ophioblennius_atlanticus Microfauna
Parablennius_marmoreus...62 Detritus
Parablennius_marmoreus...62 Benthic_algae
Parablennius_marmoreus...62 Symbiotic_algae
Parablennius_marmoreus...62 Hydrozoans
Parablennius_marmoreus...62 Polychaetes
Parablennius_marmoreus...62 Ophiuroids
Scartella_cristata Detritus
Scartella_cristata Benthic_algae
Scartella_cristata Gastropoda
Bothus_lunatus Octopuses
Bothus_lunatus Stomatopods
Bothus_lunatus Selar_crumenophthalmus
Bothus_lunatus Jenkinsia_lamprotaenia
Bothus_lunatus Anchoa_hepsetus
Bothus_lunatus Anocha_lyolepis
Bothus_ocellatus Stomatopods
Bothus_ocellatus Amphipoda
Bothus_ocellatus Shrimps
Bothus_ocellatus Crabs
Bothus_ocellatus Coryphopterus_glaucofraenum
Carangoides_bartholomaei Halichoeres_maculipinna
Carangoides_bartholomaei Ocyurus_chrysurus
Carangoides_bartholomaei Sparisoma_aurofrenatum
Carangoides_bartholomaei Sparisoma_chrysopterum
Carangoides_bartholomaei Sparisoma_radians
Carangoides_bartholomaei Sparisoma_rubripinne
Carangoides_bartholomaei Sparisoma_viride
Carangoides_latus Microfauna
Carangoides_latus Isopoda
Carangoides_latus Shrimps
Carangoides_latus Hypoatherina_harringtonensis
Carangoides_latus Atherinomorus_stipes
Carangoides_latus Harengula_clupeola
Carangoides_latus Harengula_humeralis
Carangoides_latus Myripristis_jacobus
Carangoides_ruber Microfauna
Carangoides_ruber Gastropoda
Carangoides_ruber Squids
Carangoides_ruber Stomatopods
Carangoides_ruber Shrimps
Carangoides_ruber Crabs
Carangoides_ruber Acanthurus_bahianus
Carangoides_ruber Acanthurus_chirugus
Carangoides_ruber Acanthurus_coeruleus
Carangoides_ruber Hypoatherina_harringtonensis
Carangoides_ruber Atherinomorus_stipes
Carangoides_ruber Entomacrodus_nigricans
Carangoides_ruber Ophioblennius_atlanticus
Carangoides_ruber Harengula_clupeola
Carangoides_ruber Jenkinsia_lamprotaenia
Carangoides_ruber Anchoa_hepsetus
Carangoides_ruber Anocha_lyolepis
Carangoides_ruber Monacanthus_ciliatus
Carangoides_ruber Mulloidichthys_martinicus
Carangoides_ruber Pseudupeneus_maculatus
Carangoides_ruber Stegastes_planifrons
Carangoides_ruber Scarus_coelestinus
Carangoides_ruber Scarus_iserti
Carangoides_ruber Scarus_guacamaia
Carangoides_ruber Scarus_taeniopterus
Carangoides_ruber Scarus_vetula
Carangoides_ruber Sparisoma_aurofrenatum
Carangoides_ruber Sparisoma_chrysopterum
Carangoides_ruber Sparisoma_radians
Carangoides_ruber Sparisoma_rubripinne
Carangoides_ruber Sparisoma_viride
Parablennius_marmoreus...69 Microfauna
Oligoplites_saurus Microfauna
Oligoplites_saurus Jenkinsia_lamprotaenia
Selar_crumenophthalmus Microfauna
Seriola_dumerili Balistes_vetula
Seriola_dumerili Canthidermis_sufflamen
Seriola_dumerili Melichthys_niger
Seriola_dumerili Carangoides_ruber
Seriola_dumerili Haemulon_aurolineatum
Seriola_dumerili Priacanthus_arenatus
Seriola_dumerili Calamus_bajonado
Seriola_dumerili Calamus_calamus
Seriola_dumerili Calamus_pennatula
Trachinotus_falcatus Gastropoda
Trachinotus_falcatus Bivalvia
Trachinotus_falcatus Hermit_crabs
Trachinotus_falcatus Crabs
Trachinotus_falcatus Echinoids
Trachinotus_goodei Gastropoda
Trachinotus_goodei Bivalvia
Trachinotus_goodei Isopoda
Trachinotus_goodei Hermit_crabs
Trachinotus_goodei Jenkinsia_lamprotaenia
Trachinotus_goodei Anchoa_hepsetus
Trachinotus_goodei Anocha_lyolepis
Carcharhinus_acronotus Acanthurus_bahianus
Carcharhinus_acronotus Acanthurus_chirugus
Carcharhinus_acronotus Acanthurus_coeruleus
Carcharhinus_acronotus Antennarius_multiocellatus
Carcharhinus_acronotus Antennarius_striatus
Carcharhinus_acronotus Phaeoptyx_conklini
Carcharhinus_acronotus Phaeoptyx_maculatus
Carcharhinus_acronotus Hypoatherina_harringtonensis
Carcharhinus_acronotus Atherinomorus_stipes
Carcharhinus_acronotus Aulostomus_maculatus
Carcharhinus_acronotus Melichthys_niger
